id,latitude_verbatim,longitude_verbatim,latitude,longitude,user_id,gid_0,country,gid_1,state,gid_2,county,country_cent_dist,country_cent_dist_relative,country_cent_type,country_cent_dist_max,is_country_centroid,state_cent_dist,state_cent_dist_relative,state_cent_type,state_cent_dist_max,is_state_centroid,county_cent_dist,county_cent_dist_relative,county_cent_type,county_cent_dist_max,is_county_centroid,centroid_dist_km,centroid_dist_relative,centroid_type,centroid_dist_max_km,centroid_poldiv,max_dist,max_dist_rel,latlong_err,coordinate_decimal_places,coordinate_inherent_uncertainty_m
3308,-13.05833,138.79166,-13.05833,138.79166,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.001,In ocean,5,1.54927879
3220,36.9699691187404,-93.1870751559253,36.9699691187404,-93.1870751559253,,USA,United States,USA.26_1,Missouri,USA.26.22_1,Christian,579.80469142945,0.0233012486742642,pos,24882.9880121331696220,,160.2295716104,0.376728983659053,pos,425.3178772021715597,,0.01556592872,0.000371835235390383,std_main,41.862435935254002145,1,0.01556592872,0.000371835235390383,std_main,41.862435935254002145,county,10,0.001,,13,0.00000002
3221,36.6543815853594,-93.042209977907,36.6543815853594,-93.042209977907,,USA,United States,USA.26_1,Missouri,USA.26.106_1,Taney,596.73134111948,0.0238923282966858,pos_main,24975.8555846671075828,,189.41761489131,0.435581388426373,pos,434.8615894164347526,,0.00082503033,0.0000236719633377831,std_main,34.8526363541278114168,1,0.00082503033,0.0000236719633377831,std_main,34.8526363541278114168,county,10,0.001,,12,0.00000009
3298,47.9007,3.42322,47.9007,3.42322,,FRA,France,FRA.2_1,Bourgogne-Franche-Comté,FRA.2.8_1,Yonne,159.45405451457,0.185511876504429,std_main,859.5355592274606581,,127.79361507757,0.652639277670068,std,195.8104874315795405,,12.4287847245,0.195784831871272,std_main,63.4818571270725022,,,,,,,10,0.001,,4,11.14394972
3299,52.52348,6.44074,52.52348,6.44074,,NLD,Netherlands,NLD.10_1,Overijssel,NLD.10.17_1,Ommen,62.97400081529,0.354348985933889,std_main,177.7174574080454087,,4.25346955599,0.0559561762910748,bb,76.0142997238437614,,0.7967904773,0.0423953651238972,std_main,18.7942826998055329,,,,,,,10,0.001,,5,1.30343845
3300,53.19949,6.74143,53.19949,6.74143,,NLD,Netherlands,NLD.5_1,Groningen,NLD.5.18_1,Slochteren,128.44544649839,0.598530667593662,std_main,214.6012785189323905,,1.96941923871,0.029961032102743,std_main,65.7326901141598267,,4.71163867756,0.393185194304809,pos,11.9832555900042255,,,,,,,10,0.001,,5,1.29812808
3301,52.18333,4.3829,52.18333,4.3829,,NLD,Netherlands,NLD.14_1,Zuid-Holland,NLD.14.34_1,Katwijk,62.53742979627,0.412945391264702,bb,151.4423725731398249,,19.88343658046,0.2816576567807,pos,70.5943406890633153,,1.98530117409,0.6773822472592,pos,2.9308432308683245,,,,,,,10,0.001,,4,6.92962896
3510,37.1589161313437,-91.400825852045,37.1589161313437,-91.400825852045,,USA,United States,USA.26_1,Missouri,USA.26.101_1,Shannon,726.59900673777,0.029031376284536,std_main,25028.059283734471409,,156.58534805041,0.382708916501616,bb_main,409.1499865792879002,,0.018425312,0.000430667071471861,std,42.783191984075049581,1,0.018425312,0.000430667071471861,std,42.783191984075049581,county,10,0.001,,12,0.00000009
3511,35.81,-75.86,35.81,-75.86,,USA,United States,USA.34_1,North Carolina,USA.34.28_1,Dare,2089.77482478849,0.0844805973245352,std_main,24736.7430033732616976,,320.69282744419,0.712570424454674,std,450.0507127974253983,,4.00383425488,0.056161200099668,pos_main,71.2918215382592739,,,,,,,10,0.001,,2,1431.03332447
3512,25.4019496251376,-81.0652054121464,25.4019496251376,-81.0652054121464,,USA,United States,USA.10_1,Florida,USA.10.44_1,Monroe,2200.19200156925,0.0789107210875466,pos_main,27882.0415178854095637,,300.78622367016,0.412894471842567,pos,728.4820800043240087,,0.08105314729,0.000370560999090181,std,218.730917417120378436,1,0.08105314729,0.000370560999090181,std,218.730917417120378436,county,10,0.001,,13,0.00000001
3184,39.6668337307801,-121.599804233639,39.6668337307801,-121.599804233639,,USA,United States,USA.5_1,California,USA.5.4_1,Butte,1001.63962049614,0.0373894480638746,std,26789.3663149287452005,,300.83400056317,0.407452589969918,pos,738.3288460269215821,,0.03858268386,0.000657682725126637,std_main,58.664584587607790674,1,0.03858268386,0.000657682725126637,std_main,58.664584587607790674,county,10,0.001,,12,0.00000008
