latitude,longitude
36.580435,-96.53331
39.8081822436996,-91.6228915663878
37.6253217051914,-109.805593887115
41.407,-72.9316
36.2143676206029,-115.018597077756
37.1589161313437,-91.400825852045
39.008126178318,-94.3486386689802
39.008126178318,-94.3486386689802
41.5936265982811,-122.539869279316
36.8555390515124,-89.9452521441619
37.6189675397742,-93.4002600396166
36.2200617956785,-118.801471322208
38.9146932822667,-99.3168459652486
37.3844813842296,-89.6857465525309
37.3844813842296,-89.6857465525309
42.7616679829612,-78.730563791621
44.2409288587589,-114.278850879412
36.9057650621018,-94.3400048409709
40.4106871288442,-91.7383266741605
29.8104654010656,-103.251421133493
39.6668337307801,-121.599804233639
43.0395244974881,-108.624655565238
30.932301011665,-81.67536946625
36.2171146381265,-121.237463134031
39.0339153447543,-121.693301804451
42.5967952888282,-84.3751259132018
30.8809930213196,-91.4209827611754
40.0046564436062,-120.838521336102
40.4173036404762,-77.9811884732944
36.9057650621018,-94.3400048409709
43.2071201486366,-98.5864276651617
39.4652359347011,-76.6422239239374
38.0376667123708,-93.7757304623888
37.1918267623105,-95.2975252107752
37.6088961070018,-91.5062159384351
42.3316189113988,-71.0735260241841
33.5450551202779,-81.6346591762981
39.6330249227673,-106.115515486336
29.8104654010656,-103.251421133493
39.2172702936934,-91.8427267202887
37.2042036495458,-94.3415710004452
43.3109608340032,-85.1537850777539
34.0085653352192,-106.927757558669
40.8553616012075,-99.0754746107805
30.6497455083059,-93.343836655907
37.5216896012767,-83.3240044142524
32.9364564312588,-86.2483294477602
34.8291771920237,-91.5518292630831
34.8760614704172,-95.2507429471862
38.6379795257055,-90.2452505629043
30.7164983841239,-104.144306265036
38.0299922722466,-92.7651190685464
40.4697887024609,-79.9810527880782
31.6764125214124,-92.160330332677
38.9912645751758,-92.3107911716111
38.9912645751758,-92.3107911716111
36.9699691187404,-93.1870751559253
36.6543815853594,-93.042209977907
40.667278345558,-105.460641861632
39.8317524699626,-92.5656674073719
37.5565019858293,-90.7729139257558
32.1548819346378,-86.6498900639863
40.4218020482389,-93.5709062926072
39.6877295434749,-105.64204532985
34.9650248845077,-101.897995606501
37.5565019858293,-90.7729139257558
31.450060604941,-104.519344981419
37.5565019858293,-90.7729139257558
31.4328550720979,-85.6106890735787
34.1323537244432,-86.8684174718742
42.2529776334219,-83.8394898722085
30.8809930213196,-91.4209827611754
38.7302088047709,-93.287608188771
36.6521626467009,-90.8634309155771
43.2982506904562,-71.0311590649009
31.1988436263561,-92.5333516342676
29.876169743833,-84.8134589951379
33.963768063394,-96.2612571638068
38.7124623285904,-88.0863192643354
37.4786530496615,-90.3451521487442
37.8274578739712,-92.2076098426567
37.2042036495458,-94.3415710004452
37.6600007185198,-92.5907402152203
32.5555067276094,-84.2495170865214
40.0940388150253,-95.2150756173898
38.7302088047709,-93.287608188771
35.3859883199648,-109.487395394717
37.6088961070018,-91.5062159384351
39.9834074827706,-94.8033603989629
38.6429481191588,-90.444092022045
39.008126178318,-94.3486386689802
34.3175097060368,-92.9460445153982
29.8464111580597,-92.3242338998362
